old_name,new_name
Eugenia.cryptocardia_Vasconcelos.593,
Eugenia.cucullata_NL110154,
Eugenia.cycloidea_Flickinger.57,
Eugenia.densiracemosa_Mazine.1072,
Eugenia.dictyophylla_Clase.8180,
Eugenia.dictyophylla_Flickinger.2015DR28,
Eugenia.disperma_Mazine.804,
Eugenia.domingensis_Lucas.1127,
Eugenia.domingensis_Swensen.180,
Eugenia.dysenterica_Mazine.466,
Eugenia.egensis_Vasconcelos.319,
Eugenia.eggersii_Swensen.212,
Eugenia.ekmanii_Skean.5061,
Eugenia.ellipsoidea_Lucas.879,
Eugenia.erythrophylla_Maurin.1801,
Eugenia.erythrophylla_vanderMerwe.259,
Eugenia.excelsa_Lucas.125,
Eugenia.excisa_Flickinger.52,
Eugenia.excoriata_Faria.2539,
Eugenia.excoriata_Faria.2612,
Eugenia.expansa_Bunger.634,
Eugenia.expansa_Mazine.950,
Eugenia.expansa_Staggemeier.821,
Eugenia.fajardensis_Flickinger.110,
Eugenia.farneyi_Farney.4464,
Eugenia.fasciculiflora_Simon.2032,
Eugenia.fissurata_Giaretta.1639,
Eugenia.flavescens_Zappi.415,
Eugenia.florida_Lucas.106,
Eugenia.florida_Mazine.965,
Eugenia.foetida_Holst.8865,
Eugenia.foetida_Lucas.1115,
Eugenia.glandulosa_Faria.3019,
Eugenia.goiapabana_Bunger.sn,
Eugenia.goiapabana_Faria.2481,
Eugenia.grandissima_Faria.6270,
Eugenia.greggii_Wilson.1534,
Eugenia.guanabarina_Giaretta.1629,
Eugenia.haematocarpa_Flickinger.123,
Eugenia.haematocarpa_Santiago.20181,
Eugenia.hamiltonii_Mazine.1033,
Eugenia.handroi_Faria.3100,
Eugenia.handroi_Mazine.951,
Eugenia.hiemalis_Mazine.970,
Eugenia.hiraeifolia_Souza.1142,
Eugenia.hirta_Faria.4227,
Eugenia.hypargyrea_CarilloReyes.5231,Eugenia.hypargyrea_CarillaReyes.5231
Eugenia.intermedia_Araujo.1788,
Eugenia.inversa_Faria.4230,
Eugenia.involucrata_Bunger.551,
Eugenia.involucrata_Faria.2427,
Eugenia.involucrata_Mazine.1018,
Eugenia.involucrata_PRU092793,
Eugenia.involucrata_Vasconcelos.256,
Eugenia.itajurensis_Faria.2399,
Eugenia.itajurensis_Faria.6723,
Eugenia.joseramosii_Giaretta.1651,
Eugenia.kanakana_Florens.sn.PRU092785,
Eugenia.kerianthera_Giaretta.1517,
Eugenia.klotzschiana_Faria.2006,
Eugenia.klotzschiana_Genome.ON409667,
Eugenia.laeteviridis_Oviedo.sn,
Eugenia.laevis_Flickinger.100,
Eugenia.laevis_Lucas.1113,
Eugenia.lagoensis_Fraga.2436,
Eugenia.lambertiana_Vasconcelos.382,
Eugenia.langsdorffii_Faria.2000,
Eugenia.langsdorffii_Faria.918,
Eugenia.laruotteana_Faria.3139,
Eugenia.laruotteana_Faria.6433,
Eugenia.latifolia_Prevost.4707,
Eugenia.leptoclada_Lucas.389,
Eugenia.ligustrina_Flickinger.2015DR29,
Eugenia.ligustrina_MuscarellaErickson.0132456823,Eugenia.ligustrina_Muscarella.0132456823
Eugenia.ligustrina_Vasconcelos.570,
Eugenia.lindahlii_Clase.7839,
Eugenia.linearis_Flickinger.2015DR8,
Eugenia.lineata_Flickinger.102,
Eugenia.lineolata_Flickinger.2015DR18,
Eugenia.lomensis_Flickinger.21,
Eugenia.longipetiolata_Bunger.626,
Eugenia.longiracemosa_Vasconcelos.310,
Eugenia.longohypanthiata_Giaretta.1500,
Eugenia.lucens_Flickinger.55,
Eugenia.lucida_Florens.sn.PRU092784,
Eugenia.luschnathiana_Abbott.24204,
Eugenia.luschnathiana_Faria.3140,
Eugenia.macrobracteolata_Faria.3050,
Eugenia.macrosperma_Faria.2526,
Eugenia.maestrensis_Flickinger.20,
Eugenia.magnibracteolata_Bunger.627,
Eugenia.magnisepala_Moraes.600,
Eugenia.malacantha_Faria.3037,
Eugenia.malacantha_Faria.3043,
Eugenia.martinellii_Stadnik.380,
Eugenia.mattosii_Valdemarin.1349,
Eugenia.melanogyna_Mazine.969,
Eugenia.membranifolia_Duarte.ESA85677,Eugenia.membranifolia_Duarte.sn_ESA85677
Eugenia.mensurensis_Flickinger.30,
Eugenia.mespiloides_Wilson.10741,
Eugenia.modesta_Mazine.854,
Eugenia.monticola_Flickinger.2015DR27,
Eugenia.monticola_Lucas.1117,
Eugenia.monticola_Vasconcelos.566,
Eugenia.moschata_Simon.971,
Eugenia.myrcianthes_Faria.2850,
Eugenia.myrcianthes_Mazine.1091,
Eugenia.naguana_Flickinger.26,
