"old_tips","new_tips"
"Eugenia.cordata.var.caribaea_Carrington.2338","Eugenia.cordata.var.caribaea"
"Eugenia.cordata.var.cordata_Gibney.sn","Eugenia.cordata.var.cordata"
"Eugenia.coronata_Flickinger.109","Eugenia.coronata"
"Eugenia.costatifructa_Valdemarin.1287","Eugenia.costatifructa"
"Eugenia.crassa_Giacomin.1860","Eugenia.crassa"
"Eugenia.crassipetala_Florens.sn.PRU092782","Eugenia.crassipetala"
"Eugenia.crenulata_Flickinger.2015DR6","Eugenia.crenulata"
"Eugenia.cristaensis_Rosa.1399","Eugenia.cristaensis"
"Eugenia.cryptocardia_Vasconcelos.593","Eugenia.cryptocardia"
"Eugenia.cucullata_NL110154","Eugenia.cucullata"
"Eugenia.cycloidea_Flickinger.57","Eugenia.cycloidea"
"Eugenia.densiracemosa_Mazine.1072","Eugenia.densiracemosa"
"Eugenia.dictyophylla_Clase.8180","Eugenia.dictyophylla"
"Eugenia.disperma_Mazine.804","Eugenia.disperma"
"Eugenia.domingensis_Lucas.1127","Eugenia.domingensis"
"Eugenia.dysenterica_Mazine.466","Eugenia.dysenterica"
"Eugenia.egensis_Vasconcelos.319","Eugenia.egensis"
"Eugenia.eggersii_Swensen.212","Eugenia.eggersii"
"Eugenia.ekmanii_Skean.5061","Eugenia.ekmanii"
"Eugenia.ellipsoidea_Lucas.879","Eugenia.ellipsoidea"
"Eugenia.erythrophylla_Maurin.1801","Eugenia.erythrophylla"
"Eugenia.excelsa_Lucas.125","Eugenia.excelsa"
"Eugenia.excisa_Flickinger.52","Eugenia.excisa"
"Eugenia.excoriata_Faria.2539","Eugenia.excoriata"
"Eugenia.expansa_Staggemeier.821","Eugenia.expansa"
"Eugenia.fajardensis_Flickinger.110","Eugenia.fajardensis"
"Eugenia.farneyi_Farney.4464","Eugenia.farneyi"
"Eugenia.fasciculiflora_Simon.2032","Eugenia.fasciculiflora"
"Eugenia.fissurata_Giaretta.1639","Eugenia.fissurata"
"Eugenia.flavescens_Zappi.415","Eugenia.flavescens"
"Eugenia.florida_Mazine.965","Eugenia.florida"
"Eugenia.foetida_Holst.8865","Eugenia.foetida"
"Eugenia.glandulosa_Faria.3019","Eugenia.glandulosa"
"Eugenia.goiapabana_Bunger.sn","Eugenia.goiapabana"
"Eugenia.grandissima_Faria.6270","Eugenia.grandissima"
"Eugenia.greggii_Wilson.1534","Eugenia.greggii"
"Eugenia.guanabarina_Giaretta.1629","Eugenia.guanabarina"
"Eugenia.haematocarpa_Flickinger.123","Eugenia.haematocarpa"
"Eugenia.hamiltonii_Mazine.1033","Eugenia.hamiltonii"
"Eugenia.handroi_Mazine.951","Eugenia.handroi"
"Eugenia.hiemalis_Mazine.970","Eugenia.hiemalis"
"Eugenia.hiraeifolia_Souza.1142","Eugenia.hiraeifolia"
"Eugenia.hirta_Faria.4227","Eugenia.hirta"
"Eugenia.hypargyrea_CarillaReyes.5231","Eugenia.hypargyrea"
"Eugenia.intermedia_Araujo.1788","Eugenia.intermedia"
"Eugenia.inversa_Faria.4230","Eugenia.inversa"
"Eugenia.involucrata_Vasconcelos.256","Eugenia.involucrata"
"Eugenia.itajurensis_Faria.6723","Eugenia.itajurensis"
"Eugenia.joseramosii_Giaretta.1651","Eugenia.joseramosii"
"Eugenia.kanakana_Florens.sn.PRU092785","Eugenia.kanakana"
"Eugenia.kerianthera_Giaretta.1517","Eugenia.kerianthera"
"Eugenia.klotzschiana_Faria.2006","Eugenia.klotzschiana"
"Eugenia.laeteviridis_Oviedo.sn","Eugenia.laeteviridis"
"Eugenia.laevis_Lucas.1113","Eugenia.laevis"
"Eugenia.lagoensis_Fraga.2436","Eugenia.lagoensis"
"Eugenia.lambertiana_Vasconcelos.382","Eugenia.lambertiana"
"Eugenia.langsdorffii_Faria.918","Eugenia.langsdorffii"
"Eugenia.laruotteana_Faria.6433","Eugenia.laruotteana"
"Eugenia.latifolia_Prevost.4707","Eugenia.latifolia"
"Eugenia.leptoclada_Lucas.389","Eugenia.leptoclada"
"Eugenia.ligustrina_Vasconcelos.570","Eugenia.ligustrina"
"Eugenia.lindahlii_Clase.7839","Eugenia.lindahlii"
"Eugenia.linearis_Flickinger.2015DR8","Eugenia.linearis"
"Eugenia.lineata_Flickinger.102","Eugenia.lineata"
"Eugenia.lineolata_Flickinger.2015DR18","Eugenia.lineolata"
"Eugenia.lomensis_Flickinger.21","Eugenia.lomensis"
