"","species","lon","lat"
"55","Eugenia brevistyla",-49.050833,-27.000556
"56","Eugenia brevistyla",-48.445,-22.8858
"57","Eugenia brevistyla",-40.734722,-18.907028
"58","Eugenia brevistyla",-40.735444,-18.903417
"59","Eugenia brevistyla",-47.920833,-25.074444
"60","Eugenia brevistyla",-40.734722,-18.906944
"61","Eugenia brevistyla",-45.079504,-23.380534
"62","Eugenia brevistyla",-44.542222,-22.335278
"63","Eugenia brevistyla",-46.411667,-23.035
"64","Eugenia brevistyla",-47.968889,-24.0675
"65","Eugenia brevistyla",-47.5936,-24.0314
"66","Eugenia brevistyla",-39.0675,-15.167778
"67","Eugenia brevistyla",-40.890833,-18.755
"68","Eugenia brevistyla",-48.083333,-24.233333
"69","Eugenia brevistyla",-47.876944,-24.675
"70","Eugenia brevistyla",-47.866667,-24.666667
"71","Eugenia brevistyla",-47.876944,-24.675833
"72","Eugenia brevistyla",-49.2069931547032,-25.5385841735685
"73","Eugenia brevistyla",-48.5749506171655,-25.8869914389797
"74","Eugenia brevistyla",-49.1275,-26.8925
"75","Eugenia brevistyla",-47.885,-24.608333
"76","Eugenia brevistyla",-42.25,-22.5
"77","Eugenia brevistyla",-46.706556,-22.384917
"78","Eugenia brevistyla",-47.333333,-21.866667
"79","Eugenia brevistyla",-47.88775,-24.622917
"80","Eugenia brevistyla",-48.333333,-25.283333
"81","Eugenia brevistyla",-47.9256,-24.3878
"82","Eugenia brevistyla",-47.288889,-21.469444
"83","Eugenia brevistyla",-40.530278,-19.971389
"84","Eugenia brevistyla",-44.816667,-23.333333
"85","Eugenia brevistyla",-48.6163546157778,-26.1207944603088
"86","Eugenia brevistyla",-44.8,-23.366667
"87","Eugenia brevistyla",-42.05,-22
"88","Eugenia brevistyla",-46.93333,-24.25
"89","Eugenia brevistyla",-42.018386387664,-22.8832603958893
"90","Eugenia brevistyla",-48.75,-25.416667
"91","Eugenia brevistyla",-42.85,-22.433333
"92","Eugenia brevistyla",-42.833333,-22.433333
"93","Eugenia brevistyla",-43.273873,-22.971901
"94","Eugenia brevistyla",-48.5097443939043,-25.5241866803621
"95","Eugenia brevistyla",-48.8347668975131,-25.4807848457141
"96","Eugenia brevistyla",-49.6173420675454,-29.1181277655949
"97","Eugenia brevistyla",-49.766476,-29.084523
"98","Eugenia brevistyla",-48.7224632863618,-26.3741974530958
"99","Eugenia brevistyla",-53.733333,-26.533333
"100","Eugenia brevistyla",-48.6622616743931,-26.9120047872851
"101","Eugenia brevistyla",-48.93331,-27.068261
"102","Eugenia brevistyla",-43.2076685470805,-22.9069598238154
"103","Eugenia brevistyla",-48.981355,-25.49628
"104","Eugenia brevistyla",-47.924722,-24.169139
"105","Eugenia brevistyla",-49.679444,-28.926667
"106","Eugenia brevistyla",-49.727222,-29.335833
"107","Eugenia brevistyla",-47.924722,-24.191389
"108","Eugenia brevistyla",-49.681944,-28.928056
"109","Eugenia brevistyla",-43.184668,-22.564777
"110","Eugenia kerianthera",-59.928528,-2.930278
"111","Eugenia kerianthera",-69.94,-4.08
"112","Eugenia kerianthera",-59.966667,-2.883333
"113","Eugenia kerianthera",-69.52,-1.09
"114","Calycorectes bergii",-54.168333,5.3705
"115","Calycorectes bergii",-56.772222,2.350556
"116","Calycorectes bergii",-56.7722,2.35056
"117","Calycorectes bergii",-55.166667,4.933333
"118","Calycorectes bergii",-55.166667,4.95
"119","Calycorectes bergii",-53.3,4.83333
"120","Calycorectes bergii",-58.7878,4.47056
"121","Calycorectes bergii",-58.78,4.47
"122","Calycorectes bergii",-59.966667,-2.883333
"123","Calycorectes bergii",-78.33805,-5.05666
"124","Calycorectes bergii",-78.3167,-4.91667
"125","Calycorectes bergii",-78.31666,-4.91666
"126","Calycorectes bergii",-78.33972,-5.05555
"127","Calycorectes bergii",-53,5.33333
"128","Calycorectes bergii",-58.5833,6.41667
"129","Calycorectes bergii",-52.9,4.45
"130","Calycorectes bergii",-78.341,-5.014
"131","Calycorectes bergii",-52.9333,4.61667
"132","Calycorectes bergii",-52.93333,4.61666
"133","Calycorectes bergii",-50.166667,-0.616667
"134","Calycorectes bergii",-53.033333,5.316667
"135","Calycorectes bergii",-53,5.33
"136","Calycorectes bergii",-53.03,5.31
"137","Calycorectes bergii",-47.789528,-22.751389
"138","Calycorectes bergii",-52.01741,0.881103
"139","Calycorectes bergii",-52.02577,0.866873
"140","Calycorectes bergii",-58.28,6.51
"141","Calycorectes bergii",-58.56,6.2
"142","Calycorectes bergii",-53.96,5.51
"143","Calycorectes bergii",-54.08,5.41
"144","Calycorectes bergii",-78.3397,-5.05556
"145","Calycorectes bergii",-78.3381,-5.05667
"146","Calycorectes bergii",-52.9708,3.8558
"147","Calycorectes bergii",-55.625,4.1006
"148","Eugenia zuccarinii",-42.456944,-22.927222
"149","Eugenia zuccarinii",-39.565278,-15.391667
"150","Eugenia zuccarinii",-39.202222,-16.419167
"151","Eugenia zuccarinii",-39.168628,-16.567371
"152","Eugenia zuccarinii",-40.662778,-18.971944
"153","Eugenia zuccarinii",-40.664167,-18.974806
"154","Eugenia zuccarinii",-40.470556,-20.059167
"155","Eugenia zuccarinii",-40.665556,-18.977778
"156","Eugenia zuccarinii",-41.433333,-12.45
"157","Eugenia zuccarinii",-39.459167,-13.890833
"158","Eugenia zuccarinii",-39.4592,-13.8908
"159","Eugenia zuccarinii",-40.676944,-20.096389
"160","Eugenia zuccarinii",-40.697222,-20.043333
"161","Eugenia zuccarinii",-39.189722,-14.706944
"162","Eugenia zuccarinii",-40.485278,-11.151389
"163","Eugenia zuccarinii",-43.468889,-22.570833
"164","Eugenia zuccarinii",-40.111111,-13.943611
"165","Eugenia zuccarinii",-40.683611,-19.931111
"166","Eugenia zuccarinii",-41,-12
"167","Eugenia zuccarinii",-41.45,-12.433333
"168","Eugenia zuccarinii",-41.416667,-12.45
"169","Eugenia zuccarinii",-41.452778,-12.456944
"170","Eugenia zuccarinii",-41.427222,-12.439167
"171","Eugenia zuccarinii",-41.452778,-12.4575
"172","Eugenia zuccarinii",-40.530278,-19.971389
"173","Eugenia zuccarinii",-47.6304782280121,-24.3238724796268
"174","Calycorectes grandifolius",-53.40444,4.61389
"175","Calycorectes grandifolius",-53.8,5.6
"176","Myrcia bicarinata",-47.15,-22.283333
"177","Myrcia bicarinata",-47.929722,-25.096389
"178","Myrcia bicarinata",-47.920833,-25.074444
"179","Myrcia bicarinata",-47.926944,-25.083889
"180","Myrcia bicarinata",-48.064444,-25.0025
"181","Myrcia bicarinata",-47.97,-25.13
"182","Myrcia bicarinata",-40.620278,-19.923889
"183","Myrcia bicarinata",-48,-15.883333
"184","Myrcia bicarinata",-48.5558,-25.5917
"185","Myrcia bicarinata",-49,-22
"186","Myrcia bicarinata",-48.333333,-23.497222
"187","Myrcia bicarinata",-46.0333,-7.51667
"188","Myrcia bicarinata",-47.85,-15.8744
"189","Myrcia bicarinata",-48.3294308539011,-25.3107843549497
"190","Myrcia bicarinata",-48.3258,-25.2983
"191","Myrcia bicarinata",-48.32,-25.28
"192","Myrcia bicarinata",-47.85,-15.68
"193","Myrcia bicarinata",-65.346537,-10.779865
"194","Eugenia guanabarina",-39.308611,-17.744444
"195","Eugenia guanabarina",-39.1675,-13.802222
"196","Eugenia guanabarina",-37.798889,-12.228889
"197","Calycorectes langsdorffii",-40.421667,-17.132778
"198","Calycorectes langsdorffii",-40.421917,-17.132861
"199","Eugenia rara",-39.452778,-16.969722
"200","Eugenia abunan",-65.048055,-9.598333
"201","Eugenia abunan",-65.453333,-9.644444
"202","Eugenia abunan",-65.446944,-9.641944
"203","Eugenia joseramosii",-59.966667,-2.883333
"204","Eugenia joseramosii",-59.685474,-2.31537
"205","Eugenia lagoensis",-45.585555,-20.328056
"206","Eugenia lagoensis",-45.585556,-20.328056
"207","Eugenia lagoensis",-43.748631,-19.046047
"208","Eugenia lagoensis",-43.748611,-19.045833
"209","Eugenia lagoensis",-43.780888,-18.990849
"210","Eugenia lagoensis",-43.78,-18.99
"211","Eugenia lagoensis",-43.780833,-18.990833
"212","Eugenia lagoensis",-44.011389,-19.476944
"213","Eugenia lagoensis",-44.011611,-19.476972
"214","Eugenia lagoensis",-45.623333,-20.276944
"215","Eugenia lagoensis",-45.662972,-20.251583
"216","Eugenia lagoensis",-45.67,-20.255556
"217","Eugenia lagoensis",-43.613889,-19.3075
"218","Eugenia lagoensis",-43.613889,-19.307528
"219","Eugenia lagoensis",-44.185,-18.288056
"220","Eugenia lagoensis",-44.18,-18.29
"221","Eugenia lagoensis",-44.183333,-18.283333
"222","Eugenia lagoensis",-43.666667,-19.333333
"223","Calyptranthes fasciculata",-68.755444,-13.613214
"224","Calyptranthes fasciculata",-64.48,-6.57807
"225","Calyptranthes fasciculata",-64.767222,-17.0875
"226","Calyptranthes fasciculata",-65.332222,-10.035555
"227","Calyptranthes fasciculata",-76.72666,-0.72555
"228","Calyptranthes fasciculata",-56.450833,3.000833
"229","Calyptranthes fasciculata",-71.78,-0.95
"230","Calyptranthes fasciculata",-72.63,0.5
"231","Calyptranthes fasciculata",-64.313,5.558
"232","Calyptranthes fasciculata",-66.078172,1.925191
"233","Calyptranthes fasciculata",-74.77,-0.15
"234","Calyptranthes fasciculata",-58.6736,3.17778
"235","Calyptranthes fasciculata",-58.666667,3.166667
"236","Calyptranthes fasciculata",-59.0833,1.84083
"237","Calyptranthes fasciculata",-58.6767,3.17722
"238","Calyptranthes fasciculata",-58.9719,2.91083
"239","Calyptranthes fasciculata",-58.855,3.18944
"240","Calyptranthes fasciculata",-58.6667,3.16667
"241","Calyptranthes fasciculata",-58.966667,2.9
"242","Calyptranthes fasciculata",-60.99138,-15.15555
"243","Calyptranthes fasciculata",-62.9,6.28333
"244","Calyptranthes fasciculata",-61.028611,-14.779444
"245","Calyptranthes fasciculata",-61.02416,-14.74555
"246","Calyptranthes fasciculata",-57.9189,4.79
"247","Calyptranthes fasciculata",-61.0328,-14.7802
"248","Calyptranthes fasciculata",-61.03277,-14.78
"249","Calyptranthes fasciculata",-61.0286,-14.7794
"250","Calyptranthes fasciculata",-61.0242,-14.7456
"251","Calyptranthes fasciculata",-61.15916,-14.66416
"252","Calyptranthes fasciculata",-61.1425,-14.70944
"253","Calyptranthes fasciculata",-58.62,1.63
"254","Calyptranthes fasciculata",-58.6167,1.63333
"255","Calyptranthes fasciculata",-61.0364,-14.7692
"256","Calyptranthes fasciculata",-61.03638,-14.76916
"257","Calyptranthes fasciculata",-61.5,-15.83333
"258","Calyptranthes fasciculata",-61.036389,-14.769167
"259","Calyptranthes fasciculata",-61.5,-15.83
"260","Calyptranthes fasciculata",-64.30694,5.49416
"261","Calyptranthes fasciculata",-59.25,3.25
"262","Calyptranthes fasciculata",-59.1667,2.41667
"263","Calyptranthes fasciculata",-65.33,4.96
"264","Calyptranthes fasciculata",-64.93333,5.13333
"265","Calyptranthes fasciculata",-66.7,10.56666
"266","Calyptranthes fasciculata",-72.4,-0.59
"267","Calyptranthes fasciculata",-59.35,3.016667
"268","Calyptranthes fasciculata",-59.35,3.01666
"269","Calyptranthes fasciculata",-63.51666,2.26666
"270","Calyptranthes fasciculata",-59.35,3.01667
"271","Calyptranthes fasciculata",-59.3589,3.01889
"272","Calyptranthes fasciculata",-72.397778,-0.601111
"273","Calyptranthes fasciculata",-64.666667,3.066667
"274","Calyptranthes fasciculata",-62.85,7.666667
"275","Calyptranthes fasciculata",-57.7,5.05
"276","Calyptranthes fasciculata",-67.36666,6.8
"277","Calyptranthes fasciculata",-64.8,5.133333
"278","Calyptranthes fasciculata",-65.51666,6.75
"279","Calyptranthes fasciculata",-65.51,6.75
"280","Calyptranthes fasciculata",-72.22,-0.56
"281","Calyptranthes fasciculata",-64.28,5.58
"282","Calyptranthes fasciculata",-61.52,1.2787
"283","Calyptranthes fasciculata",-61.516667,3.35
"284","Calyptranthes fasciculata",-61.52,3.35
"285","Calyptranthes fasciculata",-65.48,-0.3
"286","Calyptranthes fasciculata",-65.483333,-0.3
"287","Calyptranthes fasciculata",-65.48333,0.3
"288","Calyptranthes fasciculata",-59.71,2.9
"289","Calyptranthes fasciculata",-59.7167,2.9
"290","Calyptranthes fasciculata",-61.02,-11.2
"291","Calyptranthes fasciculata",-60.755768,-11.348104
"292","Calyptranthes fasciculata",-61.013851,-11.525059
"293","Calyptranthes fasciculata",-60.8336,-11.2
"294","Calyptranthes fasciculata",-47.98333,-1.5
"295","Calyptranthes fasciculata",-53.1,2.41
"296","Calyptranthes fasciculata",-61.05,4.75
"297","Calyptranthes fasciculata",-52.32,3.72
"298","Calyptranthes fasciculata",-63,7.75
"299","Calyptranthes fasciculata",-63.11666,7.58333
"300","Calyptranthes fasciculata",-53.53,4.13
"301","Calyptranthes fasciculata",-53.07,3.25
"302","Calyptranthes fasciculata",-61.67,1.37076
"303","Calyptranthes fasciculata",-61.666667,3.333333
"304","Calyptranthes fasciculata",-63.333333,-10.25
"305","Calyptranthes fasciculata",-62.916667,7.166667
"306","Calyptranthes fasciculata",-45.75,-2.916667
"307","Calyptranthes fasciculata",-45.75,-2.92
"308","Calyptranthes fasciculata",-0.183333,5.85
"309","Calyptranthes fasciculata",-0.11,5.51
"310","Calyptranthes fasciculata",-67.23333,10.51666
"311","Calyptranthes fasciculata",-53.43,3.18
"312","Calyptranthes fasciculata",-60.18,2.416667
"313","Calyptranthes fasciculata",-60.183333,2.416667
"314","Calyptranthes fasciculata",-60.208333,2.45
"315","Calyptranthes fasciculata",-60.22,2.45
"316","Calyptranthes fasciculata",-67.7667,5.0333
"317","Calyptranthes fasciculata",-67.76,5.03
"318","Calyptranthes fasciculata",-67.766667,5.033333
"319","Calyptranthes fasciculata",-67.77,5.03
"320","Calyptranthes fasciculata",-67.76666,5.03333
"321","Calyptranthes fasciculata",-56.65,3.25
"322","Calyptranthes fasciculata",-56.82,3.33
"323","Calyptranthes fasciculata",-61.21,7.61
"324","Calyptranthes fasciculata",-67.02,3.77
"325","Calyptranthes fasciculata",-57.3,6.05
"326","Calyptranthes fasciculata",-57.33,5.35
"327","Calyptranthes fasciculata",-58.91,6.15
"328","Calyptranthes fasciculata",-58.95,7.5
"329","Calyptranthes fasciculata",-63.58,6.28
"330","Calyptranthes fasciculata",-58.81,5.11
"331","Calyptranthes fasciculata",-58.82,5.12
"332","Calyptranthes fasciculata",-58.66,1.58
"333","Calyptranthes fasciculata",-61.23,10.2
"334","Calyptranthes fasciculata",-59.87,2.78
"335","Calyptranthes fasciculata",-56.92,2.42
"336","Calyptranthes fasciculata",-55.2,5.45
"337","Calyptranthes fasciculata",-58.7017,4.7364
"338","Calyptranthes fasciculata",-65.9119,7.0758
"339","Calyptranthes fasciculata",-64.435,-16.7261
"340","Calyptranthes fasciculata",-55.625,4.1006
"341","Calyptranthes fasciculata",-65.33333,4.96666
"342","Calyptranthes fasciculata",-66.16666,6.53333
"343","Calyptranthes fasciculata",-61.48183,3.39601
"344","Calyptranthes fasciculata",-56.4,5.33
"345","Calyptranthes garciae",-70.2483,19.6333
"346","Calyptranthes garciae",-70.333333,19.5
"347","Calyptranthes garciae",-70.3333,19.5
"348","Calyptranthes garciae",-70.1333,19.4167
"349","Calyptranthes garciae",-70.25,19.6333
"350","Calyptranthes dardanoi",-35.857983,-9.227494
"351","Calyptranthes dardanoi",-37.270556,-11.266389
"352","Calyptranthes dardanoi",-37.291667,-11.320833
"353","Calyptranthes dardanoi",-34.999167,-7.838333
"354","Calyptranthes dardanoi",-34.9992,-7.8383
"355","Calyptranthes dardanoi",-35.010556,-7.786111
"356","Calyptranthes dardanoi",-34.820556,-7.606111
"357","Calyptranthes dardanoi",-34.906111,-7.834444
"358","Calyptranthes dardanoi",-34.960386,-7.697356
"359","Calyptranthes dardanoi",-34.914444,-7.704444
"360","Calyptranthes dardanoi",-35.5,-8.3925
"361","Calyptranthes dardanoi",-35.008444,-7.839639
"362","Calyptranthes dardanoi",-36.5,-9.451944
"363","Calyptranthes dardanoi",-37.315,-10.758056
"364","Calyptranthes dardanoi",-34.87481,-7.832298
"365","Calyptranthes dardanoi",-34.977222,-7.721389
"366","Calyptranthes dardanoi",-34.986944,-7.725556
"367","Calyptranthes dardanoi",-35.020833,-7.793889
"368","Calyptranthes dardanoi",-34.990556,-7.716111
"369","Calyptranthes dardanoi",-34.969722,-7.703333
"370","Calyptranthes dardanoi",-36.279444,-10.268889
"371","Calyptranthes dardanoi",-35.02405,-7.801725
"372","Calyptranthes dardanoi",-58.773611,-7.826314
"373","Calyptranthes dardanoi",-34.979403,-7.826314
"374","Calyptranthes dardanoi",-36.346667,-10.290278
"375","Calyptranthes dardanoi",-35.002778,-7.838889
"376","Calyptranthes dardanoi",-36.002778,-8.838889
"377","Calyptranthes dardanoi",-36.383333,-8.196111
"378","Calyptranthes dardanoi",-34.947778,-7.824167
"379","Calyptranthes dardanoi",-37.241014,-8.585234
"380","Calyptranthes dardanoi",-37.1542,-8.625
"381","Calyptranthes dardanoi",-37.222794,-8.61045
"382","Calyptranthes dardanoi",-37.213316,-8.60495
"383","Calyptranthes dardanoi",-37.166667,-8.616667
"384","Calyptranthes dardanoi",-36.436539,-10.406689
"385","Calyptranthes dardanoi",-38.1425,-12.026667
"386","Calyptranthes dardanoi",-34.944392,-7.787283
"387","Calyptranthes dardanoi",-35.009,-7.780797
"388","Myrcia canescens",-52.411811,-14.517608
"389","Myrcia canescens",-47.968333,-15.473333
"390","Myrcia canescens",-48.082222,-15.934722
"391","Myrcia canescens",-48.689166,-17.743611
"392","Myrcia canescens",-48.083333,-15.929722
"393","Myrcia canescens",-48.304722,-18.611389
"394","Myrcia canescens",-60.7375,-2.242222
"395","Myrcia canescens",-48.864167,-15.809167
"396","Myrcia canescens",-48,-18
"397","Myrcia canescens",-48.973333,-15.83
"398","Myrcia canescens",-48.8875,-15.806944
"399","Myrcia canescens",-49.233333,-16.85
"400","Myrcia canescens",-48.055,-16.048333
"401","Myrcia canescens",-45.266667,-16.366667
"402","Myrcia canescens",-49.15,-14.483333
"403","Myrcia canescens",-60.761389,-14.558333
"404","Myrcia canescens",-49.404167,-19.100278
"405","Myrcia canescens",-52.25,-15.883333
"406","Myrcia canescens",-48,-14
"407","Myrcia canescens",-60.75805,-14.55833
"408","Myrcia canescens",-60.81444,-13.90611
"409","Myrcia canescens",-47.45,-7.05
"410","Myrcia canescens",-47.45,-7.033333
"411","Myrcia canescens",-60.76138,-14.55833
"412","Myrcia canescens",-54.62,-16.48
"413","Myrcia canescens",-48.2,-13.666666
"414","Myrcia canescens",-48.2,-13.666667
"415","Myrcia canescens",-54.339209,-30.342168
"416","Myrcia canescens",-47.6137541731285,-16.7723416525899
"417","Myrcia canescens",-52.333333,-14.75
"418","Myrcia canescens",-52.33,-14.75
"419","Myrcia canescens",-55.75,-15.42
"420","Myrcia canescens",-52.333333,-15.666667
"421","Myrcia canescens",-52.33,-15.23
"422","Myrcia canescens",-52.33,-14.67
"423","Myrcia canescens",-52.35,-14.7
"424","Myrcia canescens",-52.23,-14.63
"425","Myrcia canescens",-52.233333,-14.633333
"426","Myrcia canescens",-52.35,-14.67
"427","Myrcia canescens",-52.333333,-14.733333
"428","Myrcia canescens",-52.33,-14.73
"429","Myrcia canescens",-48,-16.03
"430","Myrcia canescens",-47.95,-18.17
"431","Myrcia canescens",-52.266667,-15.85
"432","Myrcia canescens",-48.9592,-15.8525
"433","Myrcia canescens",-49.56972,-15.81194
"434","Myrcia canescens",-64.435,-16.7261
"435","Myrcia bella",-48.504167,-22.910278
"436","Myrcia bella",-48.890556,-15.714722
"437","Myrcia bella",-47.532778,-12.291667
"438","Myrcia bella",-56,-11
"439","Myrcia bella",-54.401389,-21.403611
"440","Myrcia bella",-47.875833,-21.9775
"441","Myrcia bella",-47.006636,-23.252844
"442","Myrcia bella",-47.301944,-21.588333
"443","Myrcia bella",-47.901944,-22.288611
"444","Myrcia bella",-47.902222,-22.288611
"445","Myrcia bella",-47.921222,-22.288736
"446","Myrcia bella",-47.305,-21.581667
"447","Myrcia bella",-50.38,-22.6
"448","Myrcia bella",-46.567778,-20.203889
"449","Myrcia bella",-46.424722,-10.552778
"450","Myrcia bella",-46.424722,-10.5525
"451","Myrcia bella",-46.424722,-10.576944
"452","Myrcia bella",-48.503611,-22.913611
"453","Myrcia bella",-48.345,-23.051111
"454","Myrcia bella",-43.590278,-19.384167
"455","Myrcia bella",-47.827222,-14.171667
"456","Myrcia bella",-47.955,-15.975556
"457","Myrcia bella",-47.0017,-23.1472
"458","Myrcia bella",-48.301,-18.986
"459","Myrcia bella",-48.300556,-18.986389
"460","Myrcia bella",-51.557222,-16.789444
"461","Myrcia bella",-51.255278,-18.250278
"462","Myrcia bella",-49.856,-17.3777
"463","Myrcia bella",-53.193611,-17.383611
"464","Myrcia bella",-50.743889,-18.472778
"465","Myrcia bella",-51.462222,-18.179167
"466","Myrcia bella",-54.936111,-18.952778
"467","Myrcia bella",-52.573889,-18.428333
"468","Myrcia bella",-52.140833,-18.544167
"469","Myrcia bella",-52.078889,-17.970833
"470","Myrcia bella",-52.743611,-17.970833
"471","Myrcia bella",-51.681389,-16.4875
"472","Myrcia bella",-52.291111,-15.863611
"473","Myrcia bella",-51.9,-15.878056
"474","Myrcia bella",-51.713056,-16.453611
"475","Myrcia bella",-51.680422,-16.473994
"476","Myrcia bella",-51.681375,-16.487444
"477","Myrcia bella",-51.681178,-16.489086
"478","Myrcia bella",-51.546744,-16.420378
"479","Myrcia bella",-51.547478,-16.418375
"480","Myrcia bella",-52.171411,-16.058186
"481","Myrcia bella",-52.291139,-15.86355
"482","Myrcia bella",-51.900136,-15.878156
"483","Myrcia bella",-51.896925,-15.8771
"484","Myrcia bella",-52.286708,-15.858164
"485","Myrcia bella",-51.680956,-16.493061
"486","Myrcia bella",-51.550356,-16.416078
"487","Myrcia bella",-52.388611,-18.768611
"488","Myrcia bella",-49.316389,-20.708056
"489","Myrcia bella",-52.078611,-17.97
"490","Myrcia bella",-53,-18
"491","Myrcia bella",-52.745472,-17.970972
"492","Myrcia bella",-60.696667,-15.508056
"493","Myrcia bella",-51.316667,-18.7
"494","Myrcia bella",-51.318333,-18.713056
"495","Myrcia bella",-48.523917,-23.04875
"496","Myrcia bella",-48.733333,-22.8
"497","Myrcia bella",-51.45,-18.75
"498","Myrcia bella",-48.745833,-23.538056
"499","Myrcia bella",-51.559444,-17.019444
"500","Myrcia bella",-51.717222,-17.923056
"501","Myrcia bella",-51.116667,-18.1
"502","Myrcia bella",-51.7225,-17.859167
"503","Myrcia bella",-51.189722,-18.075556
"504","Myrcia bella",-51.113611,-18.118611
"505","Myrcia bella",-51.725556,-17.859167
"506","Myrcia bella",-51.995278,-18.439444
"507","Myrcia bella",-52.760556,-20.301389
"508","Myrcia bella",-51.711944,-17.900278
"509","Myrcia bella",-56.363889,-15.0225
"510","Myrcia bella",-56.215,-15.0121
"511","Myrcia bella",-54.262222,-20.250833
"512","Myrcia bella",-48.8,-15.8
"513","Myrcia bella",-52.994444,-19.0575
"514","Myrcia bella",-54.489444,-20.303611
"515","Myrcia bella",-47.0608,-22.9056
"516","Myrcia bella",-47.880278,-22.181111
"517","Myrcia bella",-47.87,-22.17
"518","Myrcia bella",-47.548333,-12.931667
"519","Myrcia bella",-46.95,-22.37
"520","Myrcia bella",-47.4826,-22.154
"521","Myrcia bella",-47.884167,-22.171111
"522","Myrcia bella",-47.82,-22.25
"523","Myrcia bella",-53.993333,-19.484722
"524","Myrcia bella",-55.640556,-23.4025
"525","Myrcia bella",-55.6406,-23.4025
"526","Myrcia bella",-56.5,-22.129167
"527","Myrcia bella",-48,-15.866666
"528","Myrcia bella",-47.826667,-10.695
"529","Myrcia bella",-48,-15.86667
"530","Myrcia bella",-52.65,-17.816667
"531","Myrcia bella",-56,-23
"532","Myrcia bella",-56.030837,-22.298729
"533","Myrcia bella",-56.105044,-22.403942
"534","Myrcia bella",-56.2114,-23.7961
"535","Myrcia bella",-56.21138,-23.79611
"536","Myrcia bella",-48.543333,-14.485833
"537","Myrcia bella",-48.466262,-14.45775
"538","Myrcia bella",-51.739722,-20.84
"539","Myrcia bella",-51.13,-11.55
"540","Myrcia bella",-55.725556,-15.3075
"541","Myrcia bella",-41.47,-12.45
"542","Myrcia bella",-55.166667,-14.716667
"543","Myrcia bella",-47.433333,-20.216667
"544","Myrcia bella",-54.85,-14.883333
"545","Myrcia bella",-55.616667,-14.716667
"546","Myrcia bella",-55.45,-14.683333
"547","Myrcia bella",-55.633333,-14.683333
"548","Myrcia bella",-55.233333,-14.65
"549","Myrcia bella",-55.066667,-14.75
"550","Myrcia bella",-47.093753,-22.858708
"551","Myrcia bella",-55.8,-22.333333
"552","Myrcia bella",-56.4167,-22.2833
"553","Myrcia bella",-55.75,-22.3667
"554","Myrcia bella",-55.8,-22.3333
"555","Myrcia bella",-55.7833,-22.35
"556","Myrcia bella",-49.1205,-24.0507
"557","Myrcia bella",-48.51833,-23.35805
