"","species","lon","lat"
"1","Eugenia caloneura",-39.719167,-13.598889
"2","Eugenia caloneura",-39.715278,-13.578611
"3","Eugenia caloneura",-39.7,-13.55
"4","Eugenia brevistyla",-49.013056,-25.456111
"5","Eugenia brevistyla",-49.378889,-26.943055
"6","Eugenia brevistyla",-43.273611,-22.971944
"7","Eugenia brevistyla",-44.2882,-22.4691
"8","Eugenia brevistyla",-49.015914,-25.445667
"9","Eugenia brevistyla",-49.015833,-25.445556
"10","Eugenia brevistyla",-44.661444,-22.638611
"11","Eugenia brevistyla",-44.661389,-22.638611
"12","Eugenia brevistyla",-45.0711,-23.4339
"13","Eugenia brevistyla",-47.8811,-24.715
"14","Eugenia neoriedeliana",-43.0407567361808,-22.6569559555097
"15","Eugenia neoriedeliana",-42.75,-22.37
"16","Eugenia brevistyla",-54.556111,-25.448889
"17","Eugenia brevistyla",-48.69,-26.1
"18","Eugenia brevistyla",-49.973917,-29.37825
"19","Eugenia brevistyla",-49.276667,-26.363056
"20","Eugenia brevistyla",-43.536111,-18.279444
"21","Eugenia brevistyla",-43.002778,-22.491944
"22","Eugenia brevistyla",-43.344167,-18.571389
"23","Eugenia brevistyla",-42.998611,-22.493611
"24","Eugenia brevistyla",-48.6425,-25.281944
"25","Eugenia brevistyla",-48.6425,-25.2819
"26","Eugenia brevistyla",-42.439694,-22.374444
"27","Eugenia brevistyla",-48.778611,-26.8225
"28","Eugenia brevistyla",-47.986111,-24.070556
"29","Eugenia brevistyla",-42.913611,-22.484722
"30","Eugenia brevistyla",-43.165833,-22.969444
"31","Eugenia brevistyla",-42.913667,-22.496389
"32","Eugenia brevistyla",-42.913611,-22.484444
"33","Eugenia brevistyla",-43.4625,-19.091111
"34","Eugenia brevistyla",-47.315,-24.024
"35","Eugenia brevistyla",-48.648333,-26.764722
"36","Eugenia brevistyla",-47.92,-24.18
"37","Eugenia brevistyla",-41.749444,-20.385792
"38","Eugenia brevistyla",-41.733333,-20.383333
"39","Eugenia brevistyla",-41.7343,-20.398083
"40","Eugenia brevistyla",-41.749444,-20.383333
"41","Eugenia brevistyla",-46.613889,-23.641667
"42","Eugenia brevistyla",-48.973333,-26.926111
"43","Eugenia brevistyla",-49.154167,-26.300833
"44","Eugenia brevistyla",-49.920556,-29.447222
"45","Eugenia brevistyla",-49.969167,-29.441111
"46","Eugenia brevistyla",-49.920833,-29.321944
"47","Eugenia brevistyla",-42.528611,-19.411111
"48","Eugenia brevistyla",-39.222222,-16.441667
"49","Eugenia brevistyla",-39.833333,-16.441667
"50","Eugenia brevistyla",-49.920278,-29.433611
"51","Eugenia brevistyla",-43.3225,-19.838888
"52","Eugenia brevistyla",-43.3225,-19.838889
"53","Eugenia brevistyla",-49.9525,-29.159444
"54","Eugenia brevistyla",-49.579,-29.0934
