NameID,Name
22102013,Acca lanuginosa (Ruiz & Pav. ex G. Don) McVaugh
22102017,Acca macrostema (Ruiz & Pav. ex G. Don) McVaugh
22103016,Acca sellowiana (O. Berg) Burret
40030226,Acca O. Berg
22103015,Accara elegans (DC.) Landrum
40037115,Accara Landrum
100142622,Aguava guianensis (Aubl.) Raf.
40034707,Aguava Raf.
50298162,Algrizea macrochlamys (DC.) Proença & Nic Lugh.
100439062,Algrizea minor Sobral, Faria & Proença
50298161,Algrizea Proença & Nic Lugh.
22103208,Amomyrtella guili (Speg.) Kausel
100436956,Amomyrtella irregularis (McVaugh) Landrum & Morocho
40012219,Amomyrtella Kausel
40012224,Amomyrtus (Burret) D. Legrand & Kausel
22102223,Amomyrtus luma (Molina) D. Legrand & Kausel
22102224,Amomyrtus meli (Phil.) D. Legrand & Kausel
22101980,Amyrsia hallii (O. Berg) Kausel
22101986,Amyrsia limbata (Kunth) Kausel
40012951,Amyrsia Raf.
22100171,Aulomyrcia chilensis O. Berg
22102072,Aulomyrcia tomentosa (Aubl.) Amshoff
40022923,Aulomyrcia O. Berg
22102225,Blepharocalyx cruckshanksii (Hook. & Arn.) Nied.
22103188,Blepharocalyx eggersii (Kiaersk.) Landrum
100154238,Blepharocalyx myriophyllus (Casar.) Morais & Sobral
22102059,Blepharocalyx salicifolius (Kunth) O. Berg
22104046,Blepharocalyx spiraeoides Stapf
40028231,Blepharocalyx O. Berg
100158603,Calycolpus aequatorialis Landrum
22103030,Calycolpus alternifolius (Gleason) Landrum
100365995,Calycolpus andersonii Landrum
50124905,Calycolpus australis Landrum
22103300,Calycolpus bolivarensis Landrum
22102292,Calycolpus calophyllus (Kunth) O. Berg
22104437,Calycolpus cochleatus McVaugh
22103042,Calycolpus goetheanus (DC.) O. Berg
22104088,Calycolpus legrandii Mattos
22102027,Calycolpus moritzianus (O. Berg) Burret
22103490,Calycolpus revolutus (Schauer) O. Berg
22103304,Calycolpus roraimensis Steyerm.
22100271,Calycolpus schomburgkianus O. Berg
100388394,Calycolpus sessiliflorus Landrum
22104444,Calycolpus surinamensis McVaugh
22102076,Calycolpus warszewiczianus O. Berg
40035838,Calycolpus O. Berg
22103434,Calycorectes bergii Sandwith
100158637,Calycorectes dominicanus Mattos
22103429,Calycorectes grandifolius O. Berg
22101933,Calycorectes macrocalyx Rusby
22100272,Calycorectes mexicanus O. Berg
100158641,Calycorectes minutifolius Mattos
22103272,Calycorectes wurdackii McVaugh
40035881,Calycorectes O. Berg
22102642,Calyptranthes acevedoi Alain
22102633,Calyptranthes acunae Borhidi & O. Muñiz
22102395,Calyptranthes acutissima Urb.
100363000,Calyptranthes aequatoriensis M.L. Kawas.
22102634,Calyptranthes albicans Borhidi
50160720,Calyptranthes amarulenta B. Holst
22102394,Calyptranthes amoena Pilg.
100363001,Calyptranthes ampliflora M.L. Kawas.
22102548,Calyptranthes amshoffae McVaugh
22102635,Calyptranthes anacletoi Borhidi & O. Muñiz
22102304,Calyptranthes anceps O. Berg
100475194,Calyptranthes anguerana Sobral & Ibrahim
22100275,Calyptranthes angustifolia Kiaersk.
22102430,Calyptranthes apicata (C. Wright ex Griseb.) Urb.
22102549,Calyptranthes apoda McVaugh
100445357,Calyptranthes arachnicola Sobral & M.C. Souza
22102431,Calyptranthes arborea Urb. & Ekman
22102432,Calyptranthes arenicola Urb.
22102305,Calyptranthes aromatica Blume
22102643,Calyptranthes banilejoana Alain
22102636,Calyptranthes baracoensis Borhidi
22102433,Calyptranthes barkeri Ekman & Urb.
22102467,Calyptranthes bartlettii Standl.
22102386,Calyptranthes bergii Krug & Urb.
22102414,Calyptranthes bialata Urb.
100445358,Calyptranthes biconvexa M.C. Souza & Sobral
22100278,Calyptranthes bimarginata O. Berg
22101827,Calyptranthes bipennis O. Berg
22100279,Calyptranthes blanchetiana O. Berg
100381747,Calyptranthes boanova Sobral
22102396,Calyptranthes boldinghii Urb.
22107337,Calyptranthes bracteata M.L. Kawas. & B. Holst
22102434,Calyptranthes bracteosa Urb. & Ekman
22100280,Calyptranthes brasiliensis Spreng.
22101828,Calyptranthes brevispicata McVaugh
100478356,Calyptranthes brunnea B. Holst & M.L. Kawas.
50262156,Calyptranthes buchenavioides Parra-Os.
22102435,Calyptranthes calderonii Standl.
22102436,Calyptranthes calophylla Urb. & Ekman
22102308,Calyptranthes calyptrata Griseb.
22102550,Calyptranthes canaliculata McVaugh
22102437,Calyptranthes canapuensis Urb.
22102665,Calyptranthes capitata Proctor
100158760,Calyptranthes capitulata C. Wright
100445359,Calyptranthes carangola Sobral & Leoni
22102415,Calyptranthes cardiophylla Urb.
100001987,Calyptranthes carinata M.L. Kawas. & B. Holst
22102312,Calyptranthes caudata Gardner
22102505,Calyptranthes chiapensis Lundell
22102438,Calyptranthes chrysophylloides Urb. & Ekman
22102077,Calyptranthes chytraculia (L.) Sw.
22102410,Calyptranthes clarensis Britton & P. Wilson
22102411,Calyptranthes clementis Britton & P. Wilson
22100281,Calyptranthes clusiifolia O. Berg
22102439,Calyptranthes collina Urb.
100279464,Calyptranthes compactiflora M.L. Kawas. & B. Holst
22102416,Calyptranthes compressa Urb.
22100282,Calyptranthes concinna DC.
50229707,Calyptranthes conduplicata B. Holst
22102507,Calyptranthes contrerasii Lundell
22102314,Calyptranthes cordata O. Berg
100445532,Calyptranthes corticosa Sobral & M.A.D. Souza
22100283,Calyptranthes crebra McVaugh
22102650,Calyptranthes cristalensis Borhidi
22102317,Calyptranthes cubensis O. Berg
22102508,Calyptranthes cuneifolia Lundell
22100284,Calyptranthes cuprea O. Berg
100381748,Calyptranthes curta Sobral & O. Aguiar
22100285,Calyptranthes cuspidata Mart. ex DC.
22105504,Calyptranthes dardanoi Mattos
22102322,Calyptranthes decandra Griseb.
22100286,Calyptranthes densiflora Poepp. ex O. Berg
22102440,Calyptranthes densifolia Urb. & Ekman
22102468,Calyptranthes depressa Urb.
100381749,Calyptranthes detecta Sobral & M.C. Souza
22102324,Calyptranthes dichotoma Casar.
22102397,Calyptranthes discolor Urb.
50141345,Calyptranthes dryadica M.L. Kawas.
22102387,Calyptranthes elegans Krug & Urb.
50270205,Calyptranthes elliptica B. Holst & M.L. Kawas.
22102417,Calyptranthes elongata Urb.
22102398,Calyptranthes enneantha C. Wright
22102404,Calyptranthes eriocephala Urb.
22102651,Calyptranthes ermitensis Borhidi
50262157,Calyptranthes estoraquensis Parra-Os.
22102666,Calyptranthes estremenanus Alain
22102652,Calyptranthes exasperata Borhidi
22100289,Calyptranthes fasciculata O. Berg
22102442,Calyptranthes flavoviridis Urb.
22102329,Calyptranthes forsteri O. Berg
100279484,Calyptranthes fusca M.L. Kawas. & B. Holst
50315719,Calyptranthes fusiformis M.L. Kawas.
50303215,Calyptranthes garciae Alain & M.M. Mejía
22101840,Calyptranthes gigantifolia McVaugh
100158766,Calyptranthes glabrescens Krug & Urb.
50292807,Calyptranthes glandulosa M.L. Kawas. & B. Holst
22100291,Calyptranthes glazioviana Kiaersk.
22102399,Calyptranthes gracilipes C. Wright
22102565,Calyptranthes grammica (Spreng.) D. Legrand
22100293,Calyptranthes grandiflora O. Berg
22100294,Calyptranthes grandifolia O. Berg
22102469,Calyptranthes grandis Urb. & Ekman
100447985,Calyptranthes guanacastensis N. Zamora, S.Y. Kim & R. Espinoza
100158767,Calyptranthes guayabillo Alain
22102554,Calyptranthes hatschbachii D. Legrand
22102566,Calyptranthes hernandezii McVaugh
22102419,Calyptranthes heterochroa Urb.
22102466,Calyptranthes heteroclada Urb. & Ekman
22102722,Calyptranthes hondurensis Standl.
22102444,Calyptranthes hotteana Urb. & Ekman
22102079,Calyptranthes hylobates Standl. ex Amshoff
22102667,Calyptranthes insularis Bisse
22102470,Calyptranthes involucrata Urb. & Ekman
100445386,Calyptranthes irregularis Sobral, M.A.D. Souza & Luize
50292808,Calyptranthes ishoaquinicca M.L. Kawas. & B. Holst
22102578,Calyptranthes izabalana Lundell
50270207,Calyptranthes jefensis B. Holst & M.L. Kawas.
22102645,Calyptranthes jimenoana Alain
22102080,Calyptranthes johnstonii McVaugh
22102445,Calyptranthes karlingii Standl.
22102336,Calyptranthes karwinskyana O. Berg
22101802,Calyptranthes kiaerskovii Krug & Urb.
22102547,Calyptranthes killipii Standl.
22101803,Calyptranthes krugii Kiaersk.
22100295,Calyptranthes krugioides McVaugh
22102471,Calyptranthes laevigata Urb. & Ekman
22100296,Calyptranthes lanceolata O. Berg
22100298,Calyptranthes langsdorffii O. Berg
22102654,Calyptranthes leonis Borhidi & O. Muñiz
22102579,Calyptranthes lepida McVaugh
22102420,Calyptranthes leptoclada Urb.
22102668,Calyptranthes levisensis Bisse & Am. Rodríguez
22102646,Calyptranthes limoncillo Alain
22100299,Calyptranthes lindeniana O. Berg
22102543,Calyptranthes linearis Alain
22102446,Calyptranthes litoralis Urb. & Ekman
22102447,Calyptranthes lomensis Urb.
50270208,Calyptranthes longicalyptrata B. Holst & M.L. Kawas.
22101829,Calyptranthes longifolia O. Berg
50238179,Calyptranthes lozanoi Parra-Os.
22100302,Calyptranthes lucida Mart. ex DC.
22100303,Calyptranthes luetzelburgii Burret ex Luetzelb.
22101804,Calyptranthes luquillensis Alain
22102509,Calyptranthes macrantha Standl. & Steyerm.
50270209,Calyptranthes macrocarpa B. Holst & M.L. Kawas.
22100304,Calyptranthes macrophylla O. Berg
22102448,Calyptranthes maestrensis Urb.
50303447,Calyptranthes manuensis B. Holst & M.L. Kawas.
100381750,Calyptranthes maritima Sobral & Bertoncello
22102449,Calyptranthes marmeladensis Urb. & Ekman
22102344,Calyptranthes martiusiana DC.
22102669,Calyptranthes martorellii Alain
