old.tips	new.tips
Calyptranthes.loranthifolia_Araujo.1827	Calyptranthes.loranthifolia_Araujo.1827
Calyptranthes.clusiifolia_Lucas.253	Calyptranthes.clusiifolia_Lucas.253
Calyptranthes.concinna_Lucas.74	Calyptranthes.concinna_Lucas.74
Calyptranthes.hatschbachii_Lucas.171	Calyptranthes.hatschbachii_Lucas.171
Calyptranthes.grandifolia_Lucas.122	Calyptranthes.grandifolia_Lucas.122
Calyptranthes.lanceolata_Lucas.84	Calyptranthes.lanceolata_Lucas.84
Calyptranthes.brasiliensis_Lucas.930	Calyptranthes.brasiliensis_Lucas.930
42896_Calyptranthes_dardanoi_AnaRaquel_matrix	Calyptranthes.dardanoi_Lourenco.444
L2_Calyptranthes_grammica_AnaRaquel_matrix	Calyptranthes.grammica_VOUCHER
Calyptranthes.pulchella_Zappi.2496	Calyptranthes.pulchella_Zappi.2496
Calyptranthes.restingae_Lucas.990	Calyptranthes.restingae_Lucas.990
L14_Calyptranthes_longicalyptrata_AnaRaquel_matrix	Calyptranthes.longicalyptrata_Vasconcelos.523
L11_Calyptranthes_cf_chytraculia_AnaRaquel_matrix	Calyptranthes.cf.chytraculia_VOUCHER
42891_Calyptranthes_biflora_AnaRaquel_matrix	Calyptranthes.biflora_Ribeiro.453
41415_Calyptranthes_garciae_AnaRaquel_matrix	Calyptranthes.garciae_Araujo.1802
Calyptranthes.pallens_Vasconcelos.534	Calyptranthes.pallens_Vasconcelos.534
Mitranthes.glabra_Lucas.1224	Mitranthes.glabra_Lucas.1224
Mitranthes.clarendonensis_Vasconcelos.511	Mitranthes.clarendonensis_Vasconcelos.511
Calyptranthes.thomasiana_Pollard.1195	Calyptranthes.thomasiana_Pollard.1195
Calyptranthes.eriocephala_Araujo.1803	Calyptranthes.eriocephala_Araujo.1803
Calyptranthes.barkeri_Lucas.1116	Calyptranthes.barkeri_Lucas.1116
Calyptranthes.laevigata_Araujo.1793	Calyptranthes.laevigata_Araujo.1793
Calyptranthes.pallens_Araujo.1792	Calyptranthes.pallens_Araujo.1792
Calyptranthes.bipennis_Holst.8054	Calyptranthes.bipennis_Holst.8054
Calyptranthes.sintenisii_Araujo.1785	Calyptranthes.sintenisii_Araujo.1785
Calyptranthes.spruceana_Araujo.1874	Calyptranthes.spruceana_Araujo.1874
Calyptranthes.lucida_Sasaki.2448	Calyptranthes.lucida_Sasaki.2448
Calyptranthes.sp_Bhiki.551	Calyptranthes.sp_Bhiki.551
Calyptranthes.sp_Tripp.3128	Calyptranthes.sp_Tripp.3128
Calyptranthes.lindeniana_Harley.54077	Calyptranthes.lindeniana_Harley.54077
Calyptranthes.kiaerskovii_Pollard.1194	Calyptranthes.kiaerskovii_Pollard.1194
41392_Calyptranthes_speciosa_AnaRaquel_matrix	Calyptranthes.speciosa_Bhiki.784
36261_Calyptranthes_speciosa_AnaRaquel_matrix	Calyptranthes.speciosa_Holst.9399
41393_Calyptranthes_fasciculata_AnaRaquel_matrix	Calyptranthes.fasciculata_Bhiki.285
